450	450	450	450
25	25	25	25
25	25	25	25
200	200	200	200
25	25	25	25
25	25	25	25
200	200	200	200
25	25	25	25
25	25	25	25
200	200	200	200
50	50	50	50
50	50	50	50
200	200	200	200
50	50	50	50
50	50	50	50
200	200	200	200
50	50	50	50
50	50	50	50
200	200	200	200
100	100	100	100
100	100	100	100
200	200	200	200
100	100	100	100
100	100	100	100
200	200	200	200
100	100	100	100
100	100	100	100
200	200	200	200
150	150	150	150
150	150	150	150
200	200	200	200
150	150	150	150
150	150	150	150
200	200	200	200
150	150	150	150
150	150	150	150
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
200	200	200	200
250	250	250	250
250	250	250	250
200	200	200	200
250	250	250	250
250	250	250	250
200	200	200	200
250	250	250	250
250	250	250	250
200	200	200	200
